41,Akira Kurosawa
368074,Shinobu Hashimoto
1536,Toshirô Mifune
477553,Machiko Kyô
605270,Masayuki Mori
217,Martin Scorsese
436164,Laeta Kalogridis
1212331,Dennis Lehane
138,Leonardo DiCaprio
607865,Emily Mortimer
749263,Mark Ruffalo
836328,John Sturges
108595,Paul Brickhill
165412,James Clavell
122446,W.R. Burnett
537,Steve McQueen
1258,James Garner
277,Richard Attenborough
229,Steven Spielberg
341,Michael Crichton
462895,David Koepp
554,Sam Neill
368,Laura Dern
156,Jeff Goldblum
233,Quentin Tarantino
233,Quentin Tarantino
235,Uma Thurman
235,Uma Thurman
1016,David Carradine
435,Daryl Hannah
1053,Ethan Coen
1054,Joel Coen
1054,Joel Coen
1053,Ethan Coen
565092,Cormac McCarthy
169,Tommy Lee Jones
849,Javier Bardem
982,Josh Brolin
4056,Andrew Stanton
881279,Lee Unkrich
4056,Andrew Stanton
677037,Bob Peterson
721675,David Reynolds
983,Albert Brooks
1122,Ellen DeGeneres
1071252,Alexander Gould
186,David Lynch
212246,Christopher De Vore
75015,Eric Bergren
186,David Lynch
164,Anthony Hopkins
457,John Hurt
843,Anne Bancroft
217,Martin Scorsese
483766,Jake LaMotta
141734,Joseph Carter
678014,Peter Savage
134,Robert De Niro
1550,Cathy Moriarty
582,Joe Pesci
591,Roman Polanski
1801,Robert Towne
591,Roman Polanski
197,Jack Nicholson
1159,Faye Dunaway
1379,John Huston
281808,Victor Fleming
2030,George Cukor
939992,Sam Wood
593565,Margaret Mitchell
397608,Sidney Howard
308177,Oliver H.P. Garrett
22,Clark Gable
46,Vivien Leigh
593775,Thomas Mitchell
574625,James McTeigue
905152,Lilly Wachowski
905154,Lana Wachowski
2331222,David Lloyd
915989,Hugo Weaving
204,Natalie Portman
1291,Rupert Graves
118,John Carpenter
484111,Bill Lancaster
132168,John W. Campbell Jr.
621,Kurt Russell
979,Wilford Brimley
202966,Keith David
230032,Pete Docter
215455,Ronnie Del Carmen
230032,Pete Docter
215455,Ronnie Del Carmen
498834,Meg LeFauve
688132,Amy Poehler
352778,Bill Hader
85400,Lewis Black
5363,Guy Ritchie
5363,Guy Ritchie
2076,Jason Flemyng
2077,Dexter Fletcher
602941,Nick Moran
33,Alfred Hitchcock
461425,Frederick Knott
1537,Ray Milland
38,Grace Kelly
191950,Robert Cummings
2728,Juan José Campanella
3160078,Eduardo Sacheri
2728,Juan José Campanella
201857,Ricardo Darín
897845,Soledad Villamil
706567,Pablo Rago
180,David Lean
99541,Pierre Boulle
286025,Carl Foreman
933858,Michael Wilson
34,William Holden
27,Alec Guinness
370144,Jack Hawkins
594503,Hayao Miyazaki
594503,Hayao Miyazaki
1168510,Diana Wynne Jones
47962,Chieko Baishô
454120,Takuya Kimura
309107,Tatsuya Gashûin
